Model,Summer Coef,Summer P-val,R-squared
Model 2 (OLS),-0.0015241804789416502,1.4387894667882906e-06,0.1260148991725364
Model 3 (Stock FE),-0.0013539508493428368,5.955803794121658e-06,0.25099052115670406
Model 4 (Panel FE),-0.0013539508493429333,5.097322791192127e-06,0.041368236496895916
