Model,Summer Coef,Summer P-val,R-squared
Model 2 (OLS),-0.0015535076617124882,1.1984417236153282e-06,0.1255962283216554
Model 3 (Stock FE),-0.001369264841704329,6.110529282724648e-06,0.24878447523864555
Model 4 (Panel FE),-0.0013692648417040038,5.2215811339184626e-06,0.04155779709845642
