Variable,Coefficient,Std_Error,P_value,Significance
Summer,-0.0013884108247729707,0.0003026723970232716,4.4928710442736605e-06,***
Christmas,0.0010146069985775522,0.00034059222778252713,0.002892385769906268,***
Large_Cap,-0.008374080206064595,0.001564109643246105,8.608039531953621e-08,***
Mid_Cap,-0.0035535963260677236,0.0020446194150395254,0.08220669597588219,*
