Model,Summer Coef,Summer P-val,Christmas Coef,Christmas P-val,R-squared
Robust OLS,-0.0013884108247729707,4.4928710442736605e-06,0.0010146069985775522,0.002892385769906268,0.08392833310963554
Robust Stock FE,-0.0012078898372429568,1.909117446286998e-05,0.0007636356660068577,0.017500255118112464,0.2512847231497485
Robust Panel FE,,,,,0.028392444876699785
